Workflow ID;Anbieter;Durchlauf ID;Detektionsdauer (in ms);Umschreibedauer (in ms);Bereich 1;Bereich 2;Bereich 3;Bereich 4;Bereich 5;Bereich 6;;Median aus 100 Durchläufen;Workflow ID;Anbieter;Detektionsdauer (in ms);Umschreibedauer (in ms)
2;IBM;8;460;112854;68614;44240;;;;;;;;;;
2;IBM;9;450;106235;61079;45156;;;;;;;;;;
2;IBM;10;482;115695;70764;44931;;;;;;;;;;
2;IBM;11;436;102878;59503;43375;;;;;;;;;;
2;IBM;12;412;106010;59814;46196;;;;;;;;;;
2;IBM;13;397;111080;68885;42195;;;;;;;;;;
2;IBM;14;437;108075;65295;42780;;;;;;;;;;
2;IBM;15;422;115055;70722;44333;;;;;;;;;;
2;IBM;16;455;109513;67768;41745;;;;;;;;;;
2;IBM;17;437;107056;61674;45382;;;;;;;;;;
2;IBM;18;434;107260;59089;48171;;;;;;;;;;
2;IBM;19;451;108608;63117;45491;;;;;;;;;;
2;IBM;20;463;107121;65850;41271;;;;;;;;;;
2;IBM;21;418;113963;70562;43401;;;;;;;;;;
2;IBM;22;385;112402;65889;46513;;;;;;;;;;
2;IBM;23;442;112855;68657;44198;;;;;;;;;;
2;IBM;24;423;107863;65024;42839;;;;;;;;;;
2;IBM;25;440;112760;69043;43717;;;;;;;;;;
2;IBM;26;528;108969;65380;43589;;;;;;;;;;
2;IBM;27;420;106080;64555;41525;;;;;;;;;;
2;IBM;28;397;115532;69822;45710;;;;;;;;;;
2;IBM;29;412;108600;65597;43003;;;;;;;;;;
2;IBM;30;377;108232;68162;40070;;;;;;;;;;
2;IBM;31;423;109973;64743;45230;;;;;;;;;;
2;IBM;32;430;100530;59241;41289;;;;;;;;;;
2;IBM;33;421;110581;65168;45413;;;;;;;;;;
2;IBM;34;427;114802;70501;44301;;;;;;;;;;
2;IBM;35;394;103135;60359;42776;;;;;;;;;;
2;IBM;36;407;107509;66627;40882;;;;;;;;;;
2;IBM;37;506;106817;64373;42444;;;;;;;;;;
2;IBM;38;429;105408;59718;45690;;;;;;;;;;
2;IBM;39;434;111363;69149;42214;;;;;;;;;;
2;IBM;40;403;109929;66263;43666;;;;;;;;;;
2;IBM;41;469;108831;63221;45610;;;;;;;;;;
2;IBM;42;498;109864;63755;46109;;;;;;;;;;
2;IBM;43;436;112062;68447;43615;;;;;;;;;;
2;IBM;44;470;101058;59848;41210;;;;;;;;;;
2;IBM;45;418;105767;64536;41231;;;;;;;;;;
2;IBM;46;445;109095;62917;46178;;;;;;;;;;
2;IBM;47;515;103755;59376;44379;;;;;;;;;;
2;IBM;48;435;107939;65382;42557;;;;;;;;;;
2;IBM;49;439;111299;69651;41648;;;;;;;;;;
2;IBM;50;424;108635;63832;44803;;;;;;;;;;
2;IBM;51;497;100553;59413;41140;;;;;;;;;;
2;IBM;52;400;105123;60351;44772;;;;;;;;;;
2;IBM;53;469;104711;59598;45113;;;;;;;;;;
2;IBM;54;417;113198;67213;45985;;;;;;;;;;
2;IBM;55;464;106843;60294;46549;;;;;;;;;;
2;IBM;56;453;101732;59131;42601;;;;;;;;;;
2;IBM;57;440;105552;59316;46236;;;;;;;;;;
2;IBM;58;414;103563;59159;44404;;;;;;;;;;
2;IBM;59;475;108767;67670;41097;;;;;;;;;;
2;IBM;60;412;109230;66466;42764;;;;;;;;;;
2;IBM;61;490;114229;69811;44418;;;;;;;;;;
2;IBM;62;433;104029;60273;43756;;;;;;;;;;
2;IBM;63;450;106707;59147;47560;;;;;;;;;;
2;IBM;64;454;107431;62043;45388;;;;;;;;;;
2;IBM;65;507;106987;67000;39987;;;;;;;;;;
2;IBM;66;445;110948;67562;43386;;;;;;;;;;
2;IBM;67;483;111218;63513;47705;;;;;;;;;;
2;IBM;68;448;112526;70584;41942;;;;;;;;;;
2;IBM;69;440;106071;66773;39298;;;;;;;;;;
2;IBM;70;403;110871;67806;43065;;;;;;;;;;
2;IBM;71;457;107053;60702;46351;;;;;;;;;;
2;IBM;72;426;103606;62194;41412;;;;;;;;;;
2;IBM;73;456;107934;68332;39602;;;;;;;;;;
2;IBM;74;460;103326;62367;40959;;;;;;;;;;
2;IBM;75;508;113937;68500;45437;;;;;;;;;;
2;IBM;76;459;114617;68717;45900;;;;;;;;;;
2;IBM;77;457;114342;68181;46161;;;;;;;;;;
2;IBM;78;467;112538;66220;46318;;;;;;;;;;
2;IBM;79;494;108822;66205;42617;;;;;;;;;;
2;IBM;80;498;105579;63741;41838;;;;;;;;;;
2;IBM;81;483;103744;61599;42145;;;;;;;;;;
2;IBM;82;456;104042;65022;39020;;;;;;;;;;
2;IBM;83;410;106695;67299;39396;;;;;;;;;;
2;IBM;84;505;108164;68744;39420;;;;;;;;;;
2;IBM;85;457;105208;60698;44510;;;;;;;;;;
2;IBM;86;404;109135;68144;40991;;;;;;;;;;
2;IBM;87;438;111975;67872;44103;;;;;;;;;;
2;IBM;88;428;108157;64488;43669;;;;;;;;;;
2;IBM;89;519;103065;61935;41130;;;;;;;;;;
2;IBM;90;437;116399;70141;46258;;;;;;;;;;
2;IBM;91;465;107207;62551;44656;;;;;;;;;;
2;IBM;92;486;113221;69161;44060;;;;;;;;;;
2;IBM;93;514;108171;64651;43520;;;;;;;;;;
2;IBM;94;451;110743;64187;46556;;;;;;;;;;
2;IBM;95;448;108626;69220;39406;;;;;;;;;;
2;IBM;96;455;105773;62955;42818;;;;;;;;;;
2;IBM;97;421;111428;63650;47778;;;;;;;;;;
2;IBM;98;495;102898;61212;41686;;;;;;;;;;
2;IBM;99;411;101656;60087;41569;;;;;;;;;;
2;IBM;100;449;109597;64007;45590;;;;;;;;;;
3;AWS;1;548;209218;67762;42688;59482;39286;;;;;;;;
3;AWS;2;471;214929;65698;38725;66184;44322;;;;;;;;
3;AWS;3;463;222530;68165;47476;63913;42976;;;;;;;;
3;AWS;4;482;224019;70996;46302;60459;46262;;;;;;;;
3;AWS;5;497;221868;70909;38278;70655;42026;;;;;;;;
3;AWS;6;519;206844;60171;46666;60488;39519;;;;;;;;
3;AWS;7;478;218291;67175;40119;69923;41074;;;;;;;;
3;AWS;8;525;216569;67243;38257;63906;47163;;;;;;;;
3;AWS;9;473;215159;62969;42849;64387;44954;;;;;;;;
3;AWS;10;483;209258;61347;38793;62428;46690;;;;;;;;
3;AWS;11;508;206519;62234;39099;62659;42527;;;;;;;;
3;AWS;12;485;222428;71793;40733;67142;42760;;;;;;;;
3;AWS;13;471;217309;60821;39679;69987;46822;;;;;;;;
3;AWS;14;451;206475;59034;43319;65752;38370;;;;;;;;
3;AWS;15;499;227030;71410;46430;70616;38574;;;;;;;;
3;AWS;16;540;216352;66918;44812;64809;39813;;;;;;;;
3;AWS;17;458;219861;70788;42341;62995;43737;;;;;;;;
3;AWS;18;460;216618;61868;45988;61143;47619;;;;;;;;
3;AWS;19;484;204796;59655;40501;60109;44531;;;;;;;;
3;AWS;20;502;204732;59662;43792;60440;40838;;;;;;;;
3;AWS;21;463;226390;65551;47208;71126;42505;;;;;;;;
3;AWS;22;459;210196;59592;42020;65079;43505;;;;;;;;
3;AWS;23;550;206035;63113;44634;60028;38260;;;;;;;;
3;AWS;24;489;216709;62562;42690;70605;40852;;;;;;;;
3;AWS;25;468;214449;60095;42633;67233;44488;;;;;;;;
